Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Transaction_Status,Transaction_Location,Currency
1,2824,2022-11-13,withdrawal,8655.36,pending,West Elizabeth,GBP
2,1409,2023-03-28,deposit,9518.47,failed,Lake Misty,USD
3,5506,2022-02-04,withdrawal,4846.6,pending,West Matthewchester,USD
4,5012,2023-08-17,withdrawal,1952.09,pending,North Jenniferfurt,GBP
5,4657,2023-01-09,transfer,3840.06,failed,East Pamela,EUR
6,3286,2022-05-15,deposit,5616.26,completed,Port Helenview,EUR
7,2679,2022-04-03,transfer,6531.04,completed,West Andrea,USD
8,9935,2022-10-30,transfer,4091.93,completed,Port Tonya,USD
9,2424,2022-12-01,withdrawal,4917.77,completed,Wrightstad,GBP
10,7912,2023-03-02,withdrawal,7101.71,completed,South Michael,GBP
11,1520,2022-06-29,withdrawal,4439.07,failed,East Stephanie,EUR
12,1488,2022-07-25,withdrawal,1673.37,failed,East Gerald,USD
13,2535,2022-05-16,transfer,5654.41,completed,Yatesside,USD
14,4582,2023-07-07,transfer,7959.01,pending,South Eric,GBP
15,4811,2023-01-10,withdrawal,2206.07,pending,South Jessicaside,GBP
16,9279,2023-06-28,withdrawal,327.92,pending,Schaefermouth,GBP
17,1434,2023-05-29,deposit,2249.21,failed,West Courtneyport,GBP
18,4257,2022-10-07,transfer,2887.41,pending,Maryborough,USD
19,9928,2022-06-18,transfer,7807.62,failed,Lake Amber,GBP
20,7873,2022-09-21,transfer,5656.94,completed,Milesfurt,USD
21,4611,2023-05-09,withdrawal,7725.7,pending,Lake Vanessamouth,GBP
22,8359,2022-10-30,withdrawal,4953.64,pending,West Alexanderchester,USD
23,5557,2022-12-13,withdrawal,5108.55,completed,Lake Tracey,EUR
24,1106,2022-04-28,deposit,5727.57,completed,Markhaven,USD
25,3615,2023-04-25,withdrawal,2679.62,pending,Moyerside,GBP
26,7924,2022-03-19,deposit,5431.52,pending,Smithtown,USD
27,6574,2022-05-25,withdrawal,9908.95,pending,Josephmouth,USD
28,5552,2022-08-20,transfer,5420.89,pending,New Emily,USD
29,3547,2023-02-11,deposit,7568.11,pending,South Seth,EUR
30,4527,2023-07-25,withdrawal,7600.28,failed,South Jacobport,EUR
31,6514,2023-01-10,withdrawal,4414.22,pending,Lopezburgh,EUR
32,2674,2022-04-03,transfer,2186.2,pending,North Jeffrey,GBP
33,2519,2023-02-09,withdrawal,4252.12,failed,West Matthewburgh,EUR
34,7224,2022-01-15,transfer,7360.15,completed,North Joanne,EUR
35,2584,2022-09-28,withdrawal,6537.06,completed,Lake Nicholasview,GBP
36,6881,2023-07-04,deposit,2476.07,completed,Ronaldmouth,USD
37,6635,2022-05-07,deposit,8748.22,failed,North Denisefort,GBP
38,5333,2023-04-11,transfer,323.27,failed,Lindseyfort,USD
39,1711,2023-01-13,withdrawal,2628.89,completed,New Jeffrey,GBP
40,8527,2022-09-26,transfer,8622.13,completed,West Jeffreyburgh,GBP
41,9785,2023-08-22,transfer,870.74,completed,Port Kimberlyberg,USD
42,3045,2023-01-26,withdrawal,8653.04,pending,Port Alicia,USD
43,7201,2023-01-16,deposit,1174.74,failed,East Austin,GBP
44,2291,2022-04-21,deposit,8119.08,pending,East Williamstad,EUR
45,5803,2022-08-28,transfer,2099.57,failed,East Daniel,GBP
46,6925,2023-04-28,transfer,7376.39,failed,Collinsport,GBP
47,4150,2022-01-26,transfer,6891.65,pending,Stevenview,GBP
48,2139,2023-07-29,deposit,8610.63,completed,West Maureen,EUR
49,1750,2022-12-02,deposit,6103.01,failed,Turnertown,EUR
50,4733,2022-08-15,deposit,4282.24,pending,North Heidiside,EUR
51,5741,2022-03-06,transfer,6161.9,pending,Cameronview,USD
52,2307,2023-04-21,transfer,7848.71,failed,Lake Amber,GBP
53,4814,2022-11-06,deposit,8135.49,completed,South Tiffanychester,USD
54,2654,2023-02-23,transfer,8054.6,failed,Gregoryborough,EUR
55,7227,2022-04-30,deposit,5701.17,failed,West Adam,EUR
56,5554,2022-05-24,deposit,5323.28,completed,New Scott,GBP
57,8428,2022-02-16,deposit,5968.98,pending,Jensenville,USD
58,6977,2022-02-08,withdrawal,1684.61,pending,East Laura,EUR
59,3664,2022-11-08,withdrawal,9790.02,completed,Port Lisaville,USD
60,7065,2023-05-20,transfer,2927.05,pending,North Amanda,EUR
61,6820,2022-04-29,withdrawal,5727.78,pending,Hallton,GBP
62,4432,2022-04-10,deposit,9524.02,completed,Davismouth,USD
63,5374,2022-08-29,transfer,5144.64,completed,Veronicaville,GBP
64,2169,2023-07-05,deposit,9001.65,pending,South Kim,USD
65,3803,2022-05-19,deposit,8151.99,failed,East Jessica,GBP
66,9751,2023-02-02,transfer,1356.75,pending,East Jose,EUR
67,5010,2023-04-10,deposit,7501.19,completed,Martinberg,EUR
68,3677,2023-01-15,withdrawal,4116.55,failed,North Joshuatown,USD
69,8573,2023-07-08,transfer,593.8,failed,Lake Philip,GBP
70,7216,2023-03-06,withdrawal,2773.96,failed,Port Joseph,EUR
71,5422,2023-08-25,withdrawal,6559.31,failed,Oconnorport,GBP
72,4598,2022-06-08,transfer,7014.56,failed,Lake Ann,GBP
73,6313,2023-03-01,deposit,1327.78,failed,North Donald,EUR
74,1916,2022-04-12,withdrawal,1463.29,failed,South Yvonnefurt,GBP
75,4752,2023-05-17,withdrawal,3221.65,completed,New Kristiton,EUR
76,1525,2023-02-22,withdrawal,2476.3,failed,New Grace,EUR
77,6168,2022-10-14,transfer,8435.71,pending,Cruzport,GBP
78,7572,2022-02-03,deposit,3927.61,failed,New Dennis,EUR
79,5386,2023-01-15,deposit,1422.57,failed,North Robyn,USD
80,2084,2022-08-11,transfer,6324.39,failed,Rodriguezchester,EUR
81,4456,2023-03-31,transfer,6278.5,failed,East Amberfort,EUR
82,6155,2023-04-01,deposit,3752.35,failed,Jenningsmouth,GBP
83,4483,2022-08-30,transfer,756.09,completed,Pamelamouth,EUR
84,9179,2023-01-07,transfer,7946.19,pending,East Tyler,GBP
85,7482,2022-04-12,transfer,7689.07,failed,Phillipside,USD
86,8517,2023-01-12,deposit,4029.1,failed,Bergerview,EUR
87,3340,2023-07-12,deposit,7498.27,completed,Williamville,USD
88,5339,2023-01-03,withdrawal,6947.34,pending,Whitakermouth,EUR
89,3287,2022-03-04,deposit,8773.3,pending,East Steven,USD
90,5040,2023-02-12,deposit,4547.5,failed,Burnsburgh,EUR
91,9830,2022-10-10,withdrawal,4880.96,failed,Alexachester,GBP
92,5304,2022-07-14,withdrawal,5819.97,failed,Moonstad,USD
93,8019,2022-05-06,deposit,8689.21,pending,South Cynthia,GBP
94,7543,2023-04-11,transfer,8471.83,completed,Fisherchester,GBP
95,6930,2022-04-04,withdrawal,932.32,failed,Christopherport,USD
96,4593,2022-08-06,deposit,9721.53,failed,South Bradleyside,EUR
97,3266,2022-01-22,deposit,6348.77,completed,South Guyfurt,EUR
98,9348,2022-02-21,withdrawal,6973.19,completed,South John,EUR
99,9085,2022-12-08,transfer,8501.21,failed,Christopherville,GBP
100,2489,2022-09-07,transfer,7956.98,completed,Bryantberg,GBP
101,1771,2022-05-09,deposit,3977.76,failed,East Calvin,USD
102,2796,2023-08-02,withdrawal,9681.32,pending,Port Joel,GBP
103,3504,2022-07-30,withdrawal,8248.65,pending,West Rebecca,EUR
104,3621,2022-03-12,withdrawal,4947.65,completed,Pattersonborough,USD
105,7916,2023-07-22,transfer,3229.33,completed,Taylortown,EUR
106,2040,2022-08-01,transfer,2836.65,pending,Millermouth,USD
107,7304,2023-08-24,transfer,5473.56,pending,South Tracymouth,EUR
108,7252,2022-08-10,withdrawal,1306.81,completed,East Ronaldtown,GBP
109,8668,2022-08-27,deposit,8524.37,pending,South Barbaramouth,GBP
110,9669,2022-12-03,transfer,7883.25,pending,Fletcherhaven,EUR
111,5119,2022-06-01,withdrawal,8941.65,completed,Lauramouth,USD
112,1188,2022-01-03,withdrawal,7622.78,failed,North Patrick,GBP
113,2876,2022-10-11,deposit,460.38,completed,North David,USD
114,9797,2022-05-29,deposit,6262.17,failed,Port Jonathanburgh,EUR
115,5371,2022-05-14,withdrawal,8367.19,failed,Ryanview,EUR
116,6573,2023-07-08,deposit,163.8,pending,Deckerberg,EUR
117,2827,2022-09-14,transfer,9294.4,pending,West Crystal,USD
118,5808,2022-06-28,withdrawal,1580.68,completed,Lake Michelle,GBP
119,8123,2022-04-23,transfer,4565.72,completed,South Kendraton,EUR
120,3591,2022-01-27,withdrawal,9918.39,pending,Lake Michael,USD
121,8433,2022-05-15,transfer,4278.57,pending,Christopherside,GBP
122,1053,2022-01-16,deposit,9956.94,failed,East Amandaborough,GBP
123,5315,2023-01-02,deposit,9094.16,pending,Port Christopherville,USD
124,9201,2022-09-01,transfer,8821.6,completed,Jenniferport,EUR
125,3927,2023-08-26,withdrawal,3019.35,pending,East Jacobfort,GBP
126,9317,2022-11-28,withdrawal,8744.36,pending,Austinstad,USD
127,2743,2022-01-17,transfer,8766.07,pending,Montesville,USD
128,5889,2022-06-28,transfer,934.31,completed,East Deniseside,GBP
129,9317,2022-09-29,deposit,3604.99,pending,Michaelmouth,USD
130,4258,2022-02-23,deposit,825.12,failed,Valeriechester,EUR
131,3504,2022-05-10,transfer,6645.42,failed,Thomasfurt,USD
132,7126,2023-03-08,transfer,6489.46,completed,East Amandahaven,USD
133,3646,2023-06-23,withdrawal,518.82,completed,Hutchinsonside,USD
134,9837,2022-04-27,withdrawal,6256.42,pending,Johntown,USD
135,9689,2022-03-07,transfer,7260.16,pending,Lake Andrewshire,GBP
136,1009,2023-05-03,withdrawal,7552.57,completed,Joshuaview,EUR
137,6310,2023-04-05,deposit,4292.88,failed,Kaylachester,USD
138,9005,2023-01-06,withdrawal,912.9,failed,Lake Samanthamouth,USD
139,1319,2023-06-10,transfer,952.74,completed,Robertobury,USD
